
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
All
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs TOR	-0.20	0.48	-1.04	0.01	-2.04	0.15	0.99	-0.85	0.68
vs ORL	-0.21	0.65	-1.18	0.13	-0.56	0.07	-0.43	0.21	-0.57
vs DAL	-0.24	-1.11	-1.61	1.42	0.13	0.87	-0.04	-1.59	-0.05
vs PHI	-0.27	0.45	-0.56	0.88	-0.47	-0.56	-0.96	-0.55	-0.46
vs NOR	-0.31	-1.14	0.40	-1.11	1.55	-0.87	-0.25	-0.57	-0.58
vs BKN	-0.32	-3.13	-1.90	-0.06	1.12	-0.14	-1.17	-0.88	0.51
vs MIN	-0.38	-0.13	-1.20	0.65	-0.17	-0.76	0.23	-1.48	-0.40
vs HOU	-0.44	-0.70	0.35	-1.97	-1.67	-0.04	0.31	0.63	-0.70
vs DET	-0.59	-0.02	-0.13	-1.01	-1.52	1.25	0.93	-2.37	-2.18
vs PHO	-0.72	-0.86	-0.56	-0.25	-0.88	-0.18	-0.46	-0.75	-2.37
vs OKC	-0.75	-0.84	1.07	-0.52	-1.47	-1.50	-1.70	0.40	-0.69
